0.92693,-0.81031
-0.60112,-1.6748
-0.80544,0.43301
-4.7934,12.226
-2.4068,3.1915
-1.4117,4.3185
3.8119,-0.30101
-0.17455,-1.2031
-2.7552,5.241
-2.6582,4.5052
-3.0166,6.9536
1.4401,-3.1197
-1.0636,2.3294
4.0539,0.56906
-4.4542,11.622
-2.5582,3.2132
-1.7313,4.0776
2.4942,-0.49973
4.8404,1.3299
0.60413,0.79534
0.15397,0.36617
4.8464,0.46972
3.7064,-0.85686
2.2664,-0.44903
-2.7784,5.1223
-4.151,9.9376
-3.7186,8.9517
2.9763,-1.333
-1.5287,4.098
-4.1329,10.107
-3.4332,9.2633
-1.4143,4.867
1.8132,-2.2122
-0.013167,0.53694
-4.8872,13.259
1.7175,-2.9636
-1.6403,4.3764
0.32638,2.0299
1.3161,-1.3928
-4.4438,11.581
-0.33953,-0.96631
4.092,-0.59096
-4.0287,10.245
4.1212,-0.23741
2.4553,-0.25772
-2.9955,6.1194
4.7402,1.0477
3.2451,-1.3225
1.9792,-0.68865
-3.2131,7.4921
3.6898,-0.42268
1.6108,-2.5054
1.8304,-2.9234
-4.66,11.9
-1.5227,4.1994
-3.9991,10.417
3.9571,-0.3626
0.5122,1.3683
-3.8083,9.4732
-0.53938,-0.40166
3.2429,-2.1007
-2.3467,2.7538
1.9562,-1.9731
4.9342,1.0926
3.05,-1.6384
1.024,-0.78828
1.8323,-1.9412
1.0452,-2.4813
-2.1416,3.2796
-4.4744,10.93
-2.004,2.9964
-1.6904,4.6126
4.0566,-0.28462
-0.05202,-0.34322
-4.2936,10.25
0.074807,1.1472
0.31375,1.2192
-2.0833,3.3605
4.9327,0.91829
-1.6779,3.7993
-0.51259,-0.86905
-2.7913,5.7945
4.4359,-0.10851
-0.78339,0.81236
-2.8625,5.273
-1.2604,3.5859
4.6586,-0.03329
3.581,-0.90502
0.44639,0.49864
-1.7436,4.0733
3.5316,-1.2703
-3.1283,7.9311
-2.543,3.7867
1.1301,-1.6265
-3.6703,9.9123
-3.8674,10.496
-3.4038,7.8843
4.5936,0.35231
-4.4118,10.702
4.1932,-0.22001
